Text	Label
During WWII the Nazis forced victims in mass shootings to disrobe, because  officers complained that Jews looked more “human” when they were dressed and  it was upsetting the enlisted machine gunners. The first and favorite tactic of  #AntiSemites like #IlhanOmar is to dehumanize...	0
I am appalled that it’s passed as okay to just use “Jews” when talking about war  crimes in Palestine. The world population of Jews is over 15m. We dont like when  attacks by Muslims are blamed on all Muslims, so we should respect in turn by not  doing the same to Jewish people.	0
They literally took chasidic Jews into backroom courts and shot them for being  Jewish or sent them Siberia for 20 years of reeducation.	0
Jerusalem is a city sacred to Jews, Christians & Muslims. Hamas terrorists had a bomb ready, planning to carry out an attack on this Holy  City. Together with the Israel Security Agency, we foiled the attack and arrested  the terrorists. WATCH:	0
Very Angry! Just spoke to Govenor Netenyahoo of Israel. I told him that I think of  Myself as the King of the Jews! King of Israel! But he said thats not possible! So I  hung up on him! Why are his people so mean & DISLOYAL to Me! I'm their KING!  #WednesdayThoughts #DisloyaltoTrump	0
if increasing police presence doesn’t actually prevent/reduce hate crimes or  increase the safety of Jews targeted, but it *does* place Black people at increased  risk of police violence, racialized overpolicing, etc., the only people who benefit  from this response are politicians	0
And hates Jews; diminished what happens on 9/11; wants Socialism, open border; universal health care...NO thanks. She talks about the America we all deserve...and it’s not what her ideal America is, that’s for damn sure! Get it?	0
You mean besides hating Jews and Israel????	0
During WW2, The Muslim Brotherhood Fought Alongside With The Nazis Against  Jews!	0
Trump supporters: Trump isn’t antisemitic. Jews: Trump is antisemitic. Trump: No I’m not you stupid disloyal Jews. Trump supporters: See?	0
Muslim Imam in Tennessee preaches “Jews and Christians are filthy. Their lives  and property can be taken in jihad by Muslims” in America. This is not going to end  well.	0
Another Nazi learned verbal tactic used by Zionazis in an  effort to negate the nationhood and identity of the Palestinian people.    Yawn !!	1
Are you kidding? The Zionazis control our government and the Lamestream Media  , so you do the math.	1
... Oh, and of course, "baby killing Zionazi" and "k!ke" That seems to go without saying.	0
Most Americans are ZioNazi's especially those who stand so blindly  strong with the psychopaths in DC. At this point if anyone trusts DC at  all they are apart of the problem destroying humanity. I never thought  DC was telling the truth even before the inside job on 9/11. Evil!	1
The zionazi regime of apartheid "israel" is an entity that masquerades as a state	1
Weapon testing on civilians, only ZioNazis will do this	1
Great thread. Loads of Zionazis to block!	1
zionazis literally get away with murder and Palestinians  suffering a holocaust inflicted on them by vicious zionists	1
Exactly!Again the strangulation of ZioNazis Not a real peace deal”A FARCE-USA  hasn’t been an honest broker in decades-How could they when  there r 350 Zio 501c grps( milking US tax $)& lobbyist grps who bully  US govt-Lying Trump must abide by his boss weasel Adelson & foreign Zios	1
Every country must reject NetanYahoo concocted fake deal of the century  world nations must stand up to this ZioNazis crime of the century, no more Balfour!	1
Says the person who wants the destruction of Israel and the Jews. Some love you are spewing	0
The racist comments leave little doubt as to whom your hate-filled Zionazi screeds  attract. Sad news for you all, the days of white supremacism  in the US and Israel/Palestine are waning. When Zionists tweet fake news, they double down instead of retracting.	1
Jews weren’t getting their asses kicked on the streets of NYC on @RudyGiuliani’s  watch. That’s happening on your watch, you worthless piece of garbage.	0
Its a disgrace that a Muslim congresswoman can say anything she pleases about  Jews and when someone criticizes her they are punished for it. This is the democrat party version of America I, for one, will not live by it, I’ll say what I damn well please, when I damn well please	0
Sharpton has never publicly apologized for inciting race riots against Jews in  Crown Heights (which led to the stabbing murder of Yankel Rosenbaum), for  inciting the firebombing of a Jewish store in Harlem, or for his role in the Tawana  Brawley farce.	0
so bored with zionazis	1
ZIONAZIS POGROMS AS LONG AS WORLD LEADERS KEEP SILENT  ZIONAZIS POGROMS WILL CONTINUE	1
Elizabeth Warren also plays the Obama aborigines card, like the Zionazis,  who abuse Holocaust, to serve the superrich war donators  & wonders of the #barbarastreisandeffect #FreeAssangeNOW #kenfm @teamkenfm @nachdenkseiten  @nuoviso @SpiegelAnti @telepolis_news @rtdeutsch	1
IDF = zionazis - #BDS is the answer	1
Apartheid israel = zionazi hellhole	1
#Apartheid zionazist... Ethnic cleansing, land seizure, home demolition, military occupation,  bombing of Gaza.. Israel is copying South Africa very well#SobatPalestinaINA #IsraeliCrimes	1
The ZioNazis are the best students of the Nazis; they learned from them  all shades of racism and crimes and today they are the masters of evil on earth	1
UK Labour Party leader candidates areselicking zionazis all call themselves  ‘Zionist’ or sympathetic to Zionism, get blasted by the Left	1
The zionazi IDF are	1
He is pro Zionazi despite of what he says #BDS	1
Your ZioNazi freind Dershowitz feels the same!	1
American citizen shot dead by ZioNazis & yet american govt  is silent Fxxxxng unbelievable	1
International TV Press Communication 3 story building was deliberately  BOMBED by the ZioNazis leading Apartheid Israel. Just like in the Korean War  where US bombers blew up any 2 or more story building and stopped bombing  because none remained. 2,000 lb on Gaza Apartment Complex	1
Zionazi lebensraum #IsraeliApartheid	1
I'm a "Zionazi" cause i showed evidence of the temple in jerusalem existing  where the temple mount is. Whoops. Sorry it offends you.	0
Hi @realDonaldTrump- You have trafficked in hate your whole life—against Jews, Muslims, Indigenous,  immigrants, black people and more. I learned from people impacted by my words.  When will you?	0
The very same conspiracy theory motivated both the Pittsburgh massacre of Jews  and the Christchurch massacre of Muslims.   I explain why anti-Jewish and anti-Muslim conspiracism is deadly, and cannot be  untangled.   If we don't stand against it, we face a grim future. 	0
Jews created a path holding signs of solidarity outside a mosque entryway in New  York so when Muslims walked through to enter the mosque, they see the support.  THIS IS HUMANITY   Retweet ❤️	0
Welcome to European antisemitism 2.0. We've been dealing w/this here while  everyone is discrediting Jews in US. I had an avatar for ages because of this filth.  Now you see it in the US. Will you believe us Jews in Eur when we warn you now?  ANTISEMITISM IS NOT A SIDE ISSUE. 	0
“We love and support the Jews, oh wait don’t take my photo until I remove the  incriminating evidence of my anti-semitism from my top shelf”	0
🇪🇺 20th Century Europe: “Jews are racially impure and must leave aryan lands”  …  🇪🇺 21st Century Europe: “Jews are racist for re-establishing a state in their ancestral land”  …  Dear Europe,  Murdering 6 million Jews is racist. Returning to our home is not.  Sincerely, Jews	0
Jews in NYC face this hatred daily at the hands of radical Blacks who are culturally  and institutionally taught to hate Jews from childhood.   I saw it as a cop   This is the root cause of those anti-Semitic attacks that deBlasio refuses to  acknowledge.	0
Say it with me: Black people don't cause racism. Muslims don't cause Islamophobia.  Jews don't cause anti-Semitism. Bigots cause bigotry.  They often blame their hate on their targets, pointing to bad acts by individuals to  justify attacks on entire communities. Don't fall for it.	0
Trump called Jews who don't support him disloyal. Just like the Nazis called Jews  disloyal to the Reich.	0
#WorldChildrensDay A heart-breaking moment in an SS picture of Hungarian Jews  near gas chamber IV at #Auschwitz II-Birkenau in 1944. A child found a dandelion  in the grass and is giving or showing it to an older boy. All the people in the picture  were gassed moments later.	0
They’ve murdered young socialists in Norway, Muslims in Christchurch and  Finsbury Park, Jews in Pittsburgh and Poway, black worshippers in Charleston, and  now Latinos in El Paso. Far right terror is growing - and it’s being fuelled by the  powerful. #WhiteSupremacistTerrorism	0
On Yom Hashoa, #WeRemember the 6 million Jews and millions of others who  were murdered in the Holocaust. We honor their memories by speaking out and  confronting anti-Semitism, bigotry, and hate – wherever we find it.	0
STOP ATTACKING BLACK JEWS.  Black Jews are a part of our Jewish community.  Black Jews are not responsible for what happened in Jersey City.  Black Jews are not Black Hebrew Israelites.  Black Jews are in mourning too.  Our Jewish community is only safe when Black Jews are too.	0
Stuttgart Courier condemns "unsuitable compassion for Jews"- German newspaper  reports that "some passengers on trams will give elderly Jewesses their seats".	0
Two teens arrested over #antisemitic assault on Rabbi, where the attackers shouted  “F*** Jews”, “Dirty Jew” and “Kill the Jews”	0
To be clear: The Daily Stormer openly advocates gassing Jews.   It’s especially galling because so much of CPAC was devoted to calling Ilhan Omar  an anti-Semite.	0
The President of the United States here suggesting that the 80% of American Jews  who vote Democrat are "disloyal." You may recall that particular antisemitic trope  from your history books. 	0
ZioNazi are ghouls, Lucifer's spawn, not Human beings.  They should be completely deleted from existence #BDS	1
Picture 1 of Anti-Semitic cartoon:   Jews lead Winston Churchill - published by Nazi Germany in 1940  Picture 2 of Anti-Semitic cartoon:   Jews lead Trump - published by the New York Times 2019	0
The @NRA’s Nugent also described Jews killed by the Nazi regime as “soulless  sheep to slaughter.” And he posted this image with the tagline, “so who is really  behind gun control?” His answer, apparently: Jews.	0
Dual loyalty smears are toxic, whether they are directed against Jews or Muslims.  This is the same trash that Fox suspended Jeanine Pirro for. It's almost like that  was just for show, and no one there really cares.	0
"People of color have been saying...that the Trump election was about white  supremacy...I'm sad that Jews in synagogues, & Muslims in mosques, & Hispanics  in Walmart had to die for that debate [on Trump's racism] to move on."  Watch my full interview with @joyannreid on @MSNBC:	0
Please @AOC do us all a favor and spend just a few minutes learning some actual  history. 6 million Jews were exterminated in the Holocaust. You demean their  memory and disgrace yourself with comments like this.	0
An Islamist War Against Jesus': How This Imam Is Fighting Radical Islam to Build  Peace with Christians, Jews 	0
Does the @nytimes want to help combat anti-Semitism? Report accurately on  anti-Semitic jihadists targeting Jews with rockets.	0
FUN GAME. Replace “Polish” with “Jews” or “Blacks” in this worksheet for year 9  students.	0
Solidly researched from Dani Ishai Behan to debunk the "Zionists stole our food  and culture!" lie: Israelis, and Jews in General, Are Not ‘Appropriating’ Anything 	0
The Jewish Museum packed to the rafters for the opening of our collaborative  exhibition, ‘Jews, Money, Myth’!	0
By the way, please report these accounts. Even though they are hilariously obvious  to Jews, to non-Jews they probably aren't, and the point is to foment anger at Jews.	0
Exactly 1 year ago, 11 Jews at the Tree of Life Synagogue were killed by a internet  nazi whose radicalization was a direct result of Trumps rhetoric. Whenever this was  brought up, both Dems & Republicans cried “too soon!” A year later & they still wont  say it. Trump is complicit.	0
Oh, dear, little ZioNazi sympathiser is losing his marbles and becoming  a potty-mouth when he loses his arguments - totally to be expected, of course..	1
Erev Pesach for Ashkenazi Jews be like:	0
He's a far-right Ukipper so his "gas the Jews" ranting was a 'joke' not anti-Semitism  & he gets invited on the BBC.  If anyone on the left behaved like like this there would (rightfully) be howls of fury  from the BBC.  That's how it works. 	0
“41% of millennials, believe that 2 million or fewer Jews were killed in the Holocaust.  “66% of millennials, cannot say what Auschwitz was.”  “And 52% of Americans wrongly think Hitler came to power through force.”  We cannot keep going down this road.	0
"American Jews" has been trending for the last few hours and folks, that's never a  good sign.	0
Friendly reminder that Evangelical Christians only support Israel and Zionism  because they think Jews will be their human shields come the rapture 😊	0
Jews & allies are shutting down the ICE Facility in Seattle.  Here's why: at least six children have died in custody in the past year.   We shouldn't have to recite the Mourner's Kaddish for children because of our  government's own cruetly.#NeverAgainIsNow #NeverAgainParaNadie	0
#OTD 10 October 1941 the deportation of Jews from Czernowitz, Romania was  decreed.  Mayor Traian Popovici objected and saved the lives of thousands of Jews. He was the 1st Romanian to be recognized by Yad Vashem as Righteous Among  the Nations.  Learn more http://ow.ly/ddcr50wHnph	0
Jews, the hunted, became hunters! Struggle for Survival teaches unrelenting  commitment towards Nation Building and making a desert as their only Home.  Maybe half of Uttar Pradesh in size, but their achievement shows commitment of  citizen towards their Nation. Wake up India! 	0
Racist Zionazi Scum	1
The claim by the prosecutor of the International Criminal Court that Jews do not  have a right to live in the Jewish homeland is pure Antisemitism. So is the  claim  that Jews have no right to defend themselves against those who seek their annihilation.	0
Your reminder that the man who now is dictating the future of our country once  honoured those that murdered 11 Jews! 	0
10 February 1944 | A transport of 1,015 Jews deported by the Germans from  #Westerbork in occupied Netherlands arrived at #Auschwitz. SS doctors sent 142  men & 73 women to be registered in the camp. 800 people were murdered in gas  chambers.	0
I am a Jew and a @UKLabour supporter... I will be tweeting every day until  December 12th #GE19 along with many other Jews who aren’t given a platform on  the main stream media. We trust in @jeremycorbyn to bring about the change we  need to live in a safer society. #Jews4Labour	0
This Holocaust Remembrance Day, we honor the six million Jews who were killed  during the Holocaust & we remind ourselves of our continuing responsibility to fight  back against those who try to divide us. #YomHaShoah	0
He's a ZioNazi. Meaning a Zionist Jew who supports Nazis  and their illegally occupied state of Israel	1
 #ZionNazi: The new #coronavirus is forcing more top ZioNazis into isolation after the apartheid regime’s health minister, who has had frequent contact w pro apartheid,  genocidal maniac & Hitler wannabe —Netanyahoo, tested positive	1
If you’re saying that calling Jews a nation makes you literally Hitler, then you’re  calling Judaism literally Hitler. The Torah and other texts say it over and over and  over again. You don’t have to believe in the Torah! But denying Jewish peoplehood  just makes you look ignorant.	0
She's no Zionazi, so absolutely.	1
Dirty Jews https://twitter.com/ajplus/status/1175750089006075905 …	1
ZioNazis are on the prowl, the Orcs are coming. Block. Block.  Block. No argument. Just block.	1
RT a Muslim hating ZioNazi on the regular truly has discredit your opinions. Unfollowed.	1
List of "ZioNazis" & Keir #Starmer as "Star-of-David-Mer" 🤦#LabourAntisemitism	0
Oh I do love waking up in the morning and being called a "zionazi".  Go join Galloways SWGB   and leave us Jewish  Labour members alone.	0
So headchoppers and zionazi terrorists are conducting coordinated strikes  against Syrian civilians . . what a surprise! https://youtu.be/d-QJOF6fH58	1
#Trump is far more concerned with how he can continue getting campaign $$ from  his ZioNazi sugar daddy, #Adelson,  & #AIPAC than he is about #Covid19.  How else do you explain his new sanctions on Iran etc, and his lackadaisical  anti Covid moves? #Capetown #SouthAfrica	1
While #Putin looks on and does nothing as usual - abandoning his allies  to the ZioNazis..(‘Look Closely, We See You’: IDF Tweets Cryptic Warning to  Syrian Army Over Hezbollah Ties): https://sputniknews.com/middleeast/20200410 1078909118-look-closely-we-see-you-idf-tweets-cryptic-warning-to-syrian-army-over -hezbollah-ties/ … #CapeTown #SouthAfrica	1
boycott zioNaZis!https://twitter.com/aust_toni/status/1248743739088125952 …	1
if You are not a Jew, the zioNaZis discriminate You! boycott zioNaZis, the jewish racism!https://twitter.com/aust_toni/status/ 1248743739088125952 …	1
Ben Wheeler @E_Superdoom_Esq, a member of the Rail Union @RMTunion,  refers to Israel advocates as "zionazi lkobby". Ben also  - says that Zionist Jews colluded with the Nazis - compares Jews to the Nazis	0
Trump's advisor zionazi criminal Kissinger means war ahead.	1
Just another @UKLabour supporter/member pretending to be Jewish whilst calling  us "ZioNazis" (white supremacist talk for Jews) & announcing Jews are  "pedophiles." Hard left = Far-right, two cheeks of the same arse. #LabourAntisemitism https://twitter.com/Never_Again2020/status /1252191911462547456 …	0
Then I am pleased to be also a ZioNazie	0
Again, you are changing the subject. Are you a zionazi? hmm? Why does international law apply to others, but not Israel? This was the original  point. This massive zionist influence and control over our politics needs to go,  and dual loyalists should be given the death penalty.	1
zionists', 'zios', 'zionazis', '(((them))), and now 'gnasher scum' and its variations.  All used as substitute words for Jews and our allies	0
Cold blooded ZioNazi murdering Bastard  ❤️🇵🇸❤️.#WeArePalestine#freepalestine#freegaza#BDS#Zionists#landthieves #murderers https://twitter.com/swilkinsonbc/status/1255803101103226880 …	1
I think it’s only the Christian Zionist alliance that smoke screens a two state  solution. The Zionazis were never serious about it and that’s been clear since  the first intifada. Israel has been able to thrive because of the loss of  Muslim unity/Khalifa.	1
#Palestine now faces complete extinction as #Israel's US backed ZioNazis  plan full annexation.The US-blackmailed UN & Islamic & #Arab govts other than  Iran all turn their backs. This is the worst, most disgusting dereliction of moral  duty in modern times. #Capetown #SouthAfrica	1
A hideous lizard/frog faced ZioNazi responsible for the homelessness of  AmeriKKKLans & a fascist loyalist, dominates a “democratic” body & as usual  without consequences https://twitter.com/cspan/status/1234865047656108032 …	1
Stealing is what zionazis do: stealing land, stealing lives, stealing property  - the kazarian mafia of a terrorist organization called Israel! 	1
The BBC attacked Jeremy Corbyn 24/7  - let it rot!! It's infested with zionazis	1
Ilhan faced as much hate from zionazis in her own party as in the republicans.  For her to extend the hand at a time like this shows she has more balls then  every bipartisan cuck combined https://twitter.com/IlhanMN/status /1240446820297342977 …	1
